"","x"
"COL",0.00357642638534374
"CRI",0.0328844657192158
"DOM",0.241732904969814
"HND",0.0286677064299201
"MEX",5.99581799200113e-05
"NIC",0.208702022456308
"PAN",0.00207414638406756
"SLV",0.482256220832651
"VEN",4.6148642759417e-05
