Country Code,trend_gdp_per_capita_ppp_2011,trend_homicide,trend_household_consumption,trend_poverty_headcount_320,adult_literacy_rate,gdp_per_capita_ppp_2011,homicide,household_consumption,poverty_headcount_320,under5_mortality_rate,youth_literacy_rate,intercept
COL,121.0332853296054,-5.971428571429109,31.783761562651403,-1.5971428571434438,92.65070666666668,8649.659776431567,53.74285714285715,3185.6962488911518,29.416666666666668,24.475,97.94429333333333,1
CRI,225.24275499469036,0.3142857142857408,72.97877342197962,-0.5893390191897464,94.86819,10228.99513328141,7.0,4234.533317116376,12.750000000000002,12.05,97.6147,1
DOM,239.54572041001785,2.2535714285716137,83.52454488888492,0.7535714285714645,86.99647,8025.674796020383,19.400000000000002,2641.452478791826,15.942857142857145,41.0375,94.21757,1
GTM,80.32501986235616,3.1014285714291083,34.2197556630485,0.21666666666667572,69.10173,6063.1176746654055,32.28333333333334,2171.467305895337,24.049999999999997,50.725,82.22026,1
HND,36.26882542667439,-1.3214285714287857,14.579777126757696,-1.480016447368512,80.01103,3470.3947028256935,52.55714285714286,1285.4959387234073,44.4,35.725,88.94272,1
MEX,178.28234455616135,-0.20714285714286398,116.73121208825577,-2.5099999999999056,90.44749166666666,14697.85590570624,9.471428571428572,5510.850786454448,19.05,25.799999999999997,97.12184,1
NIC,50.27637041664158,0.6714285714286129,19.355949110142515,-2.6249999999998,77.340055,3534.758032652254,11.685714285714285,1175.2848356692218,33.55,38.9125,86.61588499999999,1
PAN,272.1263166413622,0.09999999999999898,105.0517873162518,-0.7964285714286633,90.33974,10725.806641921696,10.557142857142859,3638.395505352285,21.728571428571428,24.950000000000003,95.583315,1
SLV,161.6726454836776,4.885714285714793,83.78465322021565,-0.903571428571546,83.55946,6428.317045793834,47.042857142857144,2867.5509456991276,23.414285714285715,31.7,94.95099,1
VEN,16.148019073415842,1.6500000000001085,32.00730367597098,-1.1000000000011256,91.40254,14165.665380485056,37.94285714285714,5484.008437151303,25.61666666666667,21.0125,96.319185,1
